Exercise Name,Day last selected,Modality,Cardio or Strength,Impact?,Anterior/Posterior,Station Number,Equipment,,KEY
straight leg upper body twist crunch with ball held above chest,,,,,,,,,
straight leg whole body crunch,,,,,,,,,
sumo squat hold,,,,,,,,,
sumo squats,,,,,,,,,
superman hold,,,,,,,,,
supermans,,,,,,,,,
suspension chest press,,,,,,,,,
thai plank,,,,,,,,,
tricep push up,,,,,,,,,
tuck jump butt kick combo,,,,,,,,,
up down mod pushup squat,,,,,,,,,
up down w pushup and jump,,,,,,,,,
up down w- jump,,,,,,,,,
up down w-butt kick jump,,,,,,,,,
up down with modified pushup,,,,,,,,,
up down with squat,,,,,,,,,
up down with stepping lunge,,,,,,,,,
up down with tuck jump,,,,,,,,,
up down,,,,,,,,,
upper body crunch hold with feet on floor,,,,,,,,,
upper body crunch with feet on floor,,,,,,,,,
upper body speed crunch,,,,,,,,,
upper body twist crunch feet on floor,,,,,,,,,
upper body twist crunch left,,,,,,,,,
upper body twist crunch right,,,,,,,,,
v sit hold with left cross 1 foot on floor,,,,,,,,,
v sit hold with left cross feet off floor,,,,,,,,,
v sit hold with right cross and 1 foot on floor,,,,,,,,,
v sit hold with right cross feet off floor,,,,,,,,,
v sit hold with right cross,,,,,,,,,
v sit hold with scissors,,,,,,,,,
v sit hold,,,,,,,,,
v sit twist 1 foot on floor,,,,,,,,,
v sit twist both feet off floor,,,,,,,,,
v sit twist both feet on floor,,,,,,,,,
v sit twist w left cross 1 foot on floor,,,,,,,,,
v ups,,,,,,,,,
versa bag ankle hops,,,,,,,,,
versa bag calf raise,,,,,,,,,
versa bag front squat,,,,,,,,,
versa bag half squat hold,,,,,,,,,
versa bag half wall sit,,,,,,,,,
versa bag jump squat,,,,,,,,,
versa bag low jump squat,,,,,,,,,
versa bag low speed squat,,,,,,,,,
versa bag reverse lunge,,,,,,,,,
versa bag right stepping and reverse lunge combo,,,,,,,,,
versa bag speed squat,,,,,,,,,
versa bag squat hold,,,,,,,,,
versa bag squat,,,,,,,,,
versa bag stepping lunge reverse lunge combo left,,,,,,,,,
versa bag stepping lunge,,,,,,,,,
versa bag wall sit,,,,,,,,,
versa log bent over high row,,,,,,,,,
versa log bent over low row,,,,,,,,,
versa log front squat,,,,,,,,,
versa log jump squat w oh press,,,,,,,,,
versa log jump squat,,,,,,,,,
versa log low speed squat,,,,,,,,,
versa log lunge jumps,,,,,,,,,
versa log modified traveling plyo push up,,,,,,,,,
versa log modified traveling push up,,,,,,,,,
versa log modified tricep push up,,,,,,,,,
versa log oh press,,,,,,,,,
versa log prone lateral hop,,,,,,,,,
versa log rdl curl oh press,,,,,,,,,
versa log rdl w row at bottom,,,,,,,,,
versa log rdl,,,,,,,,,
versa log reverse lunge,,,,,,,,,
versa log squat curl oh press,,,,,,,,,
versa log squat hold,,,,,,,,,
versa log squat w oh press,,,,,,,,,
versa log stepping lunge,,,,,,,,,
versa log traveling push up,,,,,,,,,
wall sit with foam roll,,,,,,,,,
wall sit,,,,,,,,,
whole body crunch with pose ball btw feet,,,,,,,,,
whole body crunch,,,,,,,,,
wide narrow push up combo,,,,,,,,,
wp bent over row,,,,,,,,,
wp curl press oh extension,,,,,,,,,
wp curl with oh press,,,,,,,,,
wp floor press with crunch,,,,,,,,,
wp floor press with straight leg crunch,,,,,,,,,
wp floor press,,,,,,,,,
wp front chop,,,,,,,,,
wp front squats,,,,,,,,,
wp half wall sit with wp on lap,,,,,,,,,
wp hammer curl,,,,,,,,,
wp lateral lunge,,,,,,,,,
wp lateral skip w front press,,,,,,,,,
wp lateral skip,,,,,,,,,
wp low speed squat,,,,,,,,,
wp lying tricep extension,,,,,,,,,
wp oh jump squat,,,,,,,,,
wp oh reverse lunge,,,,,,,,,
wp oh stepping lunge,,,,,,,,,
wp out up press,,,,,,,,,
wp partial rep bent over row,,,,,,,,,
wp partial rom floor press,,,,,,,,,
wp power lunge left,,,,,,,,,
wp power lunge right,,,,,,,,,
wp rdl,,,,,,,,,
wp reverse lunge w front kick,,,,,,,,,
wp reverse lunge w hip flexion,,,,,,,,,
wp reverse lunge w twist,,,,,,,,,
wp reverse lunge,,,,,,,,,
wp russian twist,,,,,,,,,
wp speed hammer curl,,,,,,,,,
wp speed squat,,,,,,,,,
wp squat hold with front press,,,,,,,,,
wp squat,,,,,,,,,
wp stability ball chest press,,,,,,,,,
wp stationary lunge left,,,,,,,,,
wp stationary lunge right,,,,,,,,,
wp stationary lunge w hip ext left,,,,,,,,,
wp stationary lunge w hip ext right,,,,,,,,,
wp stepping lunge lateral lunge left,,,,,,,,,
wp stepping lunge lateral lunge right,,,,,,,,,
wp stepping lunge reverse lunge combo with right,,,,,,,,,
wp stepping lunge reverse lunge left,,,,,,,,,
wp stepping lunge reverse lunge right,,,,,,,,,
wp stepping lunge w twist,,,,,,,,,
wp stepping lunge,,,,,,,,,
wp v sit hold with front press and one foot on floor,,,,,,,,,
wp v sit hold with front press,,,,,,,,,
wp v sit twist with 1 foot on floor,,,,,,,,,
wp v sit twist,,,,,,,,,
wp wall sit with curl and overhead press,,,,,,,,,
wp wall sit with front press,,,,,,,,,
wp wall sit with steering wheel,,,,,,,,,
wp wall sit with wp on lap,,,,,,,,,
alternating single leg half up down,,,,,,,,,
linear low hurdle with no jump turn (do not turn over handle),,,,,,,,,
suspension low row,,,,,,,,,
2 leg figure 8 dot jump,,,,,,,,,
boat hold with arms and legs parallel,,,,,,,,,
boxing 180 degree turn jump with left right,,,,,,,,,
boxing 90 degree turn jump with left right,,,,,,,,,
boxing ankle hop with left right,,,,,,,,,
boxing butt kick jump with left right,,,,,,,,,
boxing fast bilateral left right,,,,,,,,,
boxing half squat hold with fast left right,,,,,,,,,
boxing half wall sit with bilateral left right,,,,,,,,,
boxing half wall sit with fast left right,,,,,,,,,
boxing high hook hook low hook hook,,,,,,,,,
boxing hip turn with left right,,,,,,,,,
boxing lateral skip with left right,,,,,,,,,
boxing left left right jab jab cross,,,,,,,,,
boxing left left right,,,,,,,,,
boxing left right left left,,,,,,,,,
boxing low jump squat with left right,,,,,,,,,
boxing low lunge jump with left right,,,,,,,,,
boxing low speed squat with left right,,,,,,,,,
boxing lunge jump with left right,,,,,,,,,
boxing reverse lunge with left right at top,,,,,,,,,
boxing right cross jump turn left cross,,,,,,,,,
boxing right left right right,,,,,,,,,
boxing right right left left,,,,,,,,,
boxing speed squat with left right,,,,,,,,,
boxing squat hold with bilateral left right,,,,,,,,,
boxing squat hold with fast left right,,,,,,,,,
boxing squat with left right,,,,,,,,,
boxing stepping lunge with left right from bottom,,,,,,,,,
boxing tuck jump with left right,,,,,,,,,
boxing up down with jump and left right,,,,,,,,,
boxing up down with left right,,,,,,,,,
boxing up down with modified push up and left right,,,,,,,,,
boxing up down with push up and left right,,,,,,,,,
boxing upper cut fast left right,,,,,,,,,
boxing wall sit with bilateral left right,,,,,,,,,
boxing wall sit with fast left right,,,,,,,,,
continuous bilateral left right with squat,,,,,,,,,
continuous left right with squat,,,,,,,,,
db 1 db lying tricep extension with crunch,,,,,,,,,
db 1 db reverse power lunge with oh press left,,,,,,,,,
db 1 db reverse power lunge with oh press right,,,,,,,,,
db 1 db single leg wall sit with curl and oh press with left,,,,,,,,,
db 1 db single leg wall sit with curl and oh press with right,,,,,,,,,
db 1 db sumo squat with front raise,,,,,,,,,
db alternating floor press with straight leg crunch,,,,,,,,,
db alternating hammer curl with oh press,,,,,,,,,
db bent over row,,,,,,,,,
db fast alternating curl,,,,,,,,,
db floor press with hips up and feet in suspension,,,,,,,,,
db hack squat with lateral raise on way up,,,,,,,,,
db half rom hack squat with alternating oh press,,,,,,,,,
db modified push up hold with row,,,,,,,,,
db power lunge right,,,,,,,,,
db pulsing lunge with oh press left,,,,,,,,,
db reverse lunge with curl left,,,,,,,,,
db squat clean & oh jump press,,,,,,,,,
db squat jump with upright row,,,,,,,,,
db stationary lunge with oh press on right leg,,,,,,,,,
db stepping lunge and oh press,,,,,,,,,
db v sit hold with partial rep bicep curl and 1 foot on floor,,,,,,,,,
high knees with fast left right,,,,,,,,,
lateral flexion crunch with shoulder blades up,,,,,,,,,
low push up hold with hip extension,,,,,,,,,
marching half wall sit,,,,,,,,,
marching sumo squat hold,,,,,,,,,
marching wall sit,,,,,,,,,
mb single leg wall sit with curl and oh press with left leg,,,,,,,,,
mb single leg wall sit with curl and oh press with right leg,,,,,,,,,
mb squat curl and oh press,,,,,,,,,
mb squat hold with front press,,,,,,,,,
mb squat with oh press and alternating abduction,,,,,,,,,
mb sumo wall sit with front chop,,,,,,,,,
mb v sit with three way press,,,,,,,,,
mb wall sit with front chop,,,,,,,,,
modified plank ups with feet in straps,,,,,,,,,
modified pr push up plank up combo,,,,,,,,,
modified push up plank up combo with feet in straps,,,,,,,,,
modified sphinx push ups with feet in straps,,,,,,,,,
modified tricep push ups with feet in straps,,,,,,,,,
opposite arm and leg marching plank,,,,,,,,,
plank jack on hands,,,,,,,,,
plank superman combo,,,,,,,,,
pulsing straight leg crunch,,,,,,,,,
pulsing whole body crunch,,,,,,,,,
